Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H4N2,IgGIA1H4N3F1,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N4F2,IgGIA1H4N5F1,IgGIA1H5N2,IgGIA1H5N3F1,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N4F1S2,IgGIA1H5N4F2,IgGIA1H5N4F2S1,IgGIA1H5N5F1,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGIF1H3N3F1,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H4N2,IgGIF1H4N3F1,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H5N2,IgGIF1H5N3F1,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H5N4F2S1,IgGIF1H5N5F1,IgGIF1H6N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGI1H3N3F1,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H4N2,IgGI1H4N3F1,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H4N5F1,IgGI1H5N2,IgGI1H5N3F1,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H5N4F2,IgGI1H5N4F2S1,IgGI1H5N5F1,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIILE1H3N3F1,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H4N2,IgGIILE1H4N3F1,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N4F2,IgGIILE1H4N5F1,IgGIILE1H5N2,IgGIILE1H5N3F1,IgGIILE1H5N4F1,IgGIILE1H5N4F1S1,IgGIILE1H5N4F1S2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N5F1,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1
"YA-WT_1_1-C,3_01_64551.raw",3,0,1629484.279,0,0,0,595349.3587,32653.81157,0,0,0,517392.777,167648.5994,0,0,0,0,0,0,0,145528.8909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YA-WT_2_1-H,1_01_64488.raw",3,0,2424780.91,0,0,0,987759.2851,59677.20511,0,0,0,1141716.555,351138.3613,0,0,0,0,0,0,0,274442.0971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YA-WT_3_1-A,4_01_64587.raw",3,0,2043683.927,0,0,0,799337.7299,43750.41233,0,0,0,780188.2173,243953.9461,0,0,0,0,0,0,0,197418.4965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-NO_3_1-H,3_01_64581.raw",3,,,,,,,,,,,,,,,,,,,,,0,5464177.973,0,0,0,5712564.598,617730.9411,0,0,,924895.8383,2009909.969,,341228.1903,0,0,183033.6376,0,0,776982.1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-WT_1_1-D,4_01_64605.raw",3,,,,,,,,,,,,,,,,,,,,,0,4762238.674,0,0,0,5662793.364,478791.8461,0,0,,890997.7029,2111444.576,,351629.7453,0,0,218340.7182,0,0,768326.7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-WT_2_1-G,3_01_64575.raw",3,,,,,,,,,,,,,,,,,,,,,0,4797221.694,0,0,0,5528694.799,381487.9651,0,0,,874832.6554,2102859.758,,304025.3605,0,0,227853.0028,0,0,700680.8802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-WT_3_1-A,1_01_64446.raw",3,,,,,,,,,,,,,,,,,,,,,0,4569951.018,0,0,0,4835246.63,373357.2827,0,0,,756457.7679,1621114.318,,256993.4248,0,0,127553.846,0,0,504618.0988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YI-NO_1_1-E,1_01_64470.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3652638.245,0,0,0,2595909.102,319564.603,0,0,,2273496.571,977950.5466,,0,0,0,0,0,0,1089240.696
"YI-NO_2_1-G,2_01_64527.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3597466.945,0,0,0,2522267.595,270871.4739,0,0,,2200825.39,899043.4609,,0,0,0,0,0,0,1002286.213
"YI-WT_1_1-B,2_01_64497.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2546239.44,0,0,0,1951175.954,157415.3521,0,0,,1684937.488,702364.2426,,0,0,0,0,0,0,609308.2926
"YI-WT_2_1-B,4_01_64593.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3453613.758,0,0,0,2681468.855,186443.8981,0,0,,2495833.609,1079078.768,,0,0,0,0,0,0,1115251.506
"YI-WT_3_1-C,1_01_64458.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2608770.285,0,0,0,1996074.103,168448.3357,0,0,,1950721.031,850969.2482,,0,0,0,0,0,0,806911.1493
"blank_1-E,2_01_64515.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"stand_03_1-A,2_01_64491.raw",3,,,,,,,,,,,,,,,,,,,,,0,1772813.532,0,0,0,3534978.171,2842874.836,0,0,,26844.70118,3518202.093,,858483.9966,0,0,731575.81,0,0,30761.72857,0,2587860.78,0,0,0,9573261.328,3237376.333,0,0,,257277.1453,7118837.962,,1337857.456,0,0,1163256.067,0,0,467031.2028,,,,,,,,,,,,,,,,,,,,
"YF-NO_1_1-C,2_01_64503.raw",3,,,,,,,,,,,,,,,,,,,,,0,4828722.952,0,0,0,5596041.611,459632.7453,0,0,,730485.2294,2333654.544,,274505.1535,0,0,223683.5172,0,0,599753.0828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YF-NO_2_1-B,3_01_64545.raw",3,,,,,,,,,,,,,,,,,,,,,0,4051203.136,0,0,0,4491753.794,328012.8032,0,0,,661536.5233,1638093.478,,238674.478,0,0,167326.049,0,0,459564.3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YI-NO_3_1-A,3_01_64539.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3537938.105,0,0,0,2491464.071,279085.4853,0,0,0,2284891.587,939892.0073,,0,0,0,0,0,0,1035192.859
"stand_01_1-E,3_01_64563.raw",3,,,,,,,,,,,,,,,,,,,,,0,1951349.332,0,0,0,4052000.541,3126883.414,0,0,,70332.17016,4104613.235,,925259.9286,0,0,946828.7515,0,0,35249.85379,0,2714018.849,0,0,0,10073490.64,3436049.162,0,0,,158620.2001,7023948.185,,1277181.236,0,0,1115035.355,0,0,449157.718,,,,,,,,,,,,,,,,,,,,
