Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H4N3F1,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N5F1,IgGIA1H5N3F1,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N2,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGI1H3N3F1,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H4N3F1,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H5N3F1,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H4N5F1,IgGI1H5N4F2,IgGI1H5N2,IgGI1H5N5F1,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIF1H3N3F1,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H4N3F1,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H5N3F1,IgGIF1H5N2,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H6N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGIF1H5N5F1,IgGIILE1H3N3F1,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N5F1,IgGIILE1H5N3F1,IgGIILE1H5N4F1,IgGIILE1H5N2,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1,IgGIILE1H4N3F1,IgGIILE1H5N4F1S1,IgGIILE1H4N4F2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N5F1
"id_07_2-G,3_01_55444.raw",3,,2103283.402,,,30122.55731,46556.22577,,252472.8388,42703.42679,,0,,,,,,,,,,0,,,,,,0,0,,,,,,4369635.635,,,5677879.394,725708.0982,0,,647280.2574,0,2178637.557,790204.3289,587802.6781,,,,,291163.6289,,21527.64731,,42343.35141,210852.2369,,,4697.289052,0,,,,,,,,,
"id_08_2-A,2_01_55402.raw",3,,,,,,,,,,,0,,,,,379329.4566,,,828615.0503,101773.7163,0,226191.6667,361315.1743,121811.9828,41163.12896,,0,0,52759.02749,,,,,4215692.666,,,5366308.992,712107.4892,0,,749721.395,0,2086767.996,953492.7475,629050.5494,,,,,314196.0162,,,,,,,,,0,,,,,,,,,
"id_09_2-A,3_01_55426.raw",3,,,,,,,,,,,0,,,,,1196471.035,,,2773367.751,156196.4836,0,422765.8593,1203919.369,395425.5141,325996.2876,,0,0,145657.4625,,,,,4467599.296,,,5485777.173,829016.5205,0,,707195.8602,0,2117186.153,884058.9443,615120.5229,,,,,287775.4719,,,,,,,,,0,,,,,95022.97575,,,,
"id_10_2-G,1_01_55396.raw",3,,,,,,,,,,,0,,,,,2013534.298,,,1891702.918,56226.89507,0,1832742.323,855742.4103,77252.93377,203328.8774,,0,0,689964.9506,,,,,545310.7569,,,528342.3125,355496.9942,0,,173663.8683,0,298941.5324,155954.9714,55368.91963,,,,,48687.43371,,3879932.65,,3082566.813,795910.6145,,3012379.489,1808602.213,0,,,,,377258.5877,,,,
"id_11_2-C,1_01_55384.raw",3,,1227703.988,,,638747.0667,118607.6844,,514093.8191,253796.8118,,0,,,,,,,,,,0,,,,,,0,0,,,,,,263072.0872,,,7084.365404,470956.0541,0,,140932.2064,0,169773.9015,60726.78896,68399.68536,,,,,27438.9983,,4154312.961,,3363903.5,857071.635,,3141127.325,1819077.473,0,,,,,315265.5112,,,,
"id_12_2-D,2_01_55411.raw",3,,,,,,,,,,,0,,,,,2349239.662,,,3309764.776,525636.015,0,1420283.286,1618458.633,1748930.311,279183.4603,,0,0,780917.6561,,,,,866390.825,,,1244086.323,990525.3566,0,,206551.5361,0,761908.0116,1411369.315,54158.19197,,,,,145614.3668,,3036130.882,,2325302.343,655315.6763,,2144294.342,1547883.676,0,,,,,238415.3798,,,,
"id_13_2-G,2_01_55420.raw",3,,,,,,,,,,,0,,,,,3475614.685,,,7689056.323,510179.6975,0,708125.616,3449945.149,1282402.39,1053078.112,,0,0,335316.0771,,,,,615939.1422,,,679082.2807,968611.6877,0,,519890.1677,0,228085.4512,223557.3881,144688.2396,,,,,69980.46819,,,,,,,,,0,,,,,,,,,
"id_14_2-A,4_01_55450.raw",3,,,,,,,,,,,0,,,,,3008510.755,,,6977708.972,567229.2341,0,718164.4549,2988497.572,1103499.534,981313.121,,0,0,292561.0867,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,
"id_15_2-D,1_01_55387.raw",3,,236016.5102,,,36260.00072,870379.5992,,21280.25161,20805.67711,,0,,,,,4300062.189,,,8012425.84,648814.8946,0,1207622.188,3532278.991,1475452.129,1133232.975,,0,0,437826.2521,,,,,289736.915,,,272605.9358,934716.8505,0,,200882.7193,0,196452.6834,373503.2901,26138.77351,,,,,88163.50553,,1432005.962,,1195022.685,358669.9847,,929051.5337,1642572.485,0,,,,,113150.2588,,,,
"id_16_2-C,2_01_55408.raw",3,,2901603.973,,,1607030.374,297408.4107,,1149182.333,553550.5194,,0,,,,,,,,,,0,,,,,,0,0,,,,,,175414.2789,,,132767.6499,53492.33294,0,,16444.08879,0,119590.285,119995.7719,120038.7502,,,,,165832.4217,,494476.5795,,359396.5144,88255.56112,,346295.5088,97219.87683,0,,,,,92718.78127,,,,
